name,comment
Minh Lê," ""Thứ 3 là em còn cay th bray quá"""
Kelsey Felix," ""Thứ Ba là tuấn anh má là ngọc"""
Hưng Hồ," ""2 th bố chứ 2 em à"""
Minh Trí," ""thứ ba là em thấy b ray đã tham gia atsh"""
Triệu Dương," ""Đ biết ai sp ai :)))"""
Khôi Nguyên," ""thứ 3 là hẹn bố ra quán trà sữa =))"""
Drakes Phúc," ""Thứ 3 là sau bao năm em vẫn cay th bray :))"""
Minh Hoàng," ""Ba là tuấn anh mẹ là ngọc"""
Hoàng Long," ""Thứ 3 em cay BRay Phan Đình Tần"""
Hoang Thien," ""Thứ 3 là em quên e từng rap j:"""
Nguyễn Long Hồ," ""chứ ko phải thằng kia đều tên Tuấn Anh à :))))"""
Trần Bảo," ""thứ 3 là tại anh còn cay B Ray"""
Hiếu Võ," ""Vui hơn mà cay thì rủ nhau ún trs"""
Trần Hoàng Vinh," ""Thứ 3 là chủ yếu anh cay bray quá nên anh tham gia"""
Minh Khánh," ""Ý là E flop quá hả"""
Long Huỳnh," ""Thứ 3 bray cho e ăn ớt mà bao năm nay e cay quá đêm ngủ mơ bray cũng toát mồ hôi hột tưởng gặp ác mộng =))))"""
Tranh Nguyen," ""Toàn trẩu trẩu vào hãi thật . Antil đông nhưng quân Mông"""
Thang Le," ""Thấy fan bray nói nó cay bray nhưng thực tế fan bray rất cay richchoy vì nó rap đỉnh"""
Nguyen Duy Nhat," ""vậy mà rủ MCK với Anh Phan đấm nhau thôi"""
Nhân Lâm," ""Hỏi nữa nó về méc mẹ nó giờ thấy ảnh gang gang vậy chứ ảnh là mamaboy đó ...🤣🤣🤣🤣"""
Thiên Ân," ""thứ 3 là vì em cay B Ray"""
Quang Ngọc Vũ," ""Sp nó hay nó sp lại vậy v"""
Ngọc Son," ""Dell cần punchline m cũng phải ch.et rất nhanh"""
Nguyễn Tấn Phúc," ""Ver toàn chửi đổng sặc mùi cay cú 🤣🤣"""
Thiểm Ngọc Hoàng," ""Giờ chơi lại Bray thua"""
Chí Quyền," ""May be an image of ‎text that says '‎Câm mồm! Má mày tên là Ngọc Ông già mày tên là Tuấn Anh علتلام‎'‎"""
Nguyễn Thịnh Đức," ""Cay thì nói mẹ nó cay lè nhà lè nhè"""
RØGUE STORE," ""Mn rảnh ghé trangg mình xemm mẫu nhaaa ❤️❤️"""
Lê Sỹ Việt Tùng," ""Thứ ba là thằng em cò vừa là em vừa là bố à 🙂?"""
