name,comment
Sown Hong,Ko dizz lại đc thì cứ ko biết cho nhanh :))
Đỗ Việt,Đang bận chạy show kiếm vài tỏi/tháng. Dính dô mấy cái diss lỡ mồm như Jack là xong phim.
Nguyễn Thanh Lan,"Tính ra nghe rap nay gần 20 năm t ko biết richchoi là ai, t chỉ biết anh ko đòi quà thôi 😂"
Tuấn Khanh,Karik và cục kít của a ấy hả 🤣
Nguyễn Tấn Kha,Thú thật Bray không rep thằng Choi thì hầu hết cả nước dell biết đến nó :))
Nguyễn Tuấn Anh,Là con zai em đó anh Rik 😂
Nguyễn Bảo,Hỏi Bray là biết tên bố mẹ nó luôn á Rik ơi 😂😂
Ngọc Đăng,Quả : Who? của Eminem h xài vẫn ác nhỉ :))))))
Phan Quốc Văn,"Battle King??? Richchoi rap cũng được, dizz cũng ổn nhưng gọi là King thì chưa đủ tuổi."
Pháp Bánh Mỳ,thành công của karik với công chúng là điều k thể phủ nhận . karik bây giờ là người của công chúng người có chỗ đứng trong ngành giải trí rồi . cơ mà . battle thì karik k có cửa .
Duyet VI To,"So skill thì thấy kr k trong top dc so vs mấy rapper bây h, nhưng rapper thành công nhất vn chắc chắn có kr"
Phong Đinh,"Karik cmt xong tự nhiên nhớ giai điệu này Ai? Ai? Ai? Ái? Mấy thằng nhỏ này là ai"" :)))))))"
Vu Lingst,nhắc đến thì cx có diss lại dc đell đâu thì chả giả vờ k quen
Quý Glow,Cộng lonq của a Khoa =))
Phạm Thuận Thiên,"karik: battle king lấy anh cốc nước""🐧"
Tôn Phúc Quyền,bá dơ kinh còn nghe dc chứ ở đó mà battle king 😢
Phan Thị Thúy Mỵ,"Nhưng xin lỗi tôi chỉ biết Karik , biết từ lúc tôi còn bé cơ"
Thế Dũng,Eminem: WHO? khi MC hỏi về Afrojack
An Phenyl,Cọng lông chân của anh mà a ko b là sao
Hoàng Tân,Lớn rồi kiếm tiền vẫn hơn! Sân chơi đó dành cho mấy nhóc “karik nói vậy đó”
Lê Văn Mẫu,"Anh chính là Yết Kiêu của thời đại, lại đậm chất của con người Lý Sơn hồn hậu, chất phác mà mưu trí, kiên cường, nhân nghĩa vô song."
Kim Oanh,"Thôi vào đổi tuyển quốc gia môn bơi lội để đi thi thế giới đưa huan chương vàng về cho chính mình va đất nước,chúc mừng anh phúc Đức rất dày cho 3 anh em"
Huong Tran,"Nhà nhà người người luôn tâm niệm để cứu được ba em , nay đã về an toàn đó là sự mầu nhiệm của Quan Thế Âm Bồ Tát, ko gì là ko thể nên mn luôn ghi nhớ nhé"
Trịnh Hồng Lai,"Em cũng nghi là cởi áo phao để ra tín hiệu, nhưng không lấy lại được 😁. Hậu duệ Hải đội Trường Sa 👍"
Mùa Lỗi,QNgai mới có ba kì tích trong năm 2025:
Nguyễn Thượng Thu,"Kình ngư giữa biển cả, quá tuyệt vời ! Chúc mừng anh một siêu nhân của Lý Sơn- Quảng Ngãi."
Trần Đình Uyển,"Dựng lại bộ phim đi, không có chổ ngồi."
Nguyễn Sơn,"Thiệt quá phi thường. Mình tắm biển mới 30p mà da mặt, tay chân tím ngắt vậy mà bạn ấy ở giữa biển khơi hơn 1 ngày vẫn cầm cự được."
Thanh Thuy,Đợt ĐTT Chấm dc mỗi Wukong
Ngoc Anh,Nhìn ảnh Men nhưng ảnh ko men
Nguyễn Lan Anh,Thế chứng tỏ ĐTĐ cũng không phải kịch bản 100% nhỉ
Cù Thanh Hoàng,Mai cồ hư đốn
Linh Kute,"sau tất cả thì lại quay trở về stan OTP bị chửi nhiều nhất, Yuna và Kiên 🤣"
Hương Giang Trần,Ngay từ lúc xem đã thấy vậy mà.
Song Sươngmin,hãm cả 2 mà
Mỹ Liễu,Đảo thiên đường thích mỗi Huy ít nói dễ thương
Cao Thu Hiền,Ngược lại sau ctrinh Yuna với a Kiên lại có mqh rất thân thiết luôn
Nguyen Tram,Cũng tên Mai Cồ mà kì zẫyyyyyyy
Vũ Thuỳ Linh,Ai dịch giúp em cái em ngu tiếng anh haha
Võ Thị HuyỀn ChÂn,thôi má 49 gặp 50 .ko má nào thua má nào.TD hay YN t thấy má nào cũng H~M 🤣
Đỗ Thị Hồng Đào,Dí ác 😆😆
Nguyễn Thị Bích Thủy,"Ở ĐTT thì bà Yuna dành ô cho bằng được, rồi giờ bà hối hận chưa"
Hoàng Giang,Con này hl thế :))
Thy Thy,ũa nhưng cho thắc mắc. ở ĐTĐ cái anh gì quen c Linh ấy thì s nhỉ. Mê cặp đó nhất. Còn cặp Mai Cồ này hãm từ đầu nên ko thích
Kieu Oanh,Huyền Trinh bị mát m ơi kkk
Thùy Phương,Kẻ 8 lạng người nửa kg. Ac toxic như nhau. Tác thành cho ac gắn bó bền vững để đừng làm toxic nh ng. Xin cảm ơn
Lưu Minh Châu,thằng mông tóp chân que tăm k có men đâu haha
Sam Lee,Good boy thì ko vui mà bad boy thì ko ngoan kkk
Phúc Nguyễn,Vừa lắm anh xứng đáng bị chủi
Lê Hồng Huệ,Kết cục của cặp đôi hãm
Thanh Nguyên,cũng dành giựt cha này cho bằng dc từ tay bạn Hàn Quốc kia giờ chửi tơi bời ời. Nguyễn Kim Ngân cảm thấy bạn Hàn Quốc kia may mắn ghê.
Mai Phương,Bao giờ có ĐTĐ mùa 2 nhể
Alex Phan,Tuyết Nhung ban này nết giống ck nè :)))
Tuyết Ngân,Trần Ngọc Minh Tâm oi thoi check
Đ. Nhật Ánh,Ảnh mặc váy
Quân Thư Ảnh,Tao là con gái mà tao còn ghét nói xấu nyc nè. Ai hỏi lí do chia tay chỉ bảo ko hợp thôi chứ thực tế ảnh cắm sừng tao. Nhưng tao đã chia tay rồi nên coi như nyc đã đăng xuất cho khỏi phiền. Nên thằng con trai mà đi nói xấu người cũ là tao thấy hèn lắm ấy
Kathy Vo,T nói thằng nào đang iu mình mà đi nói xấu vợ cũ hay nyc là mốt chia tay nó cũng y vậy với mình :))
Thị Hân,Thích cái cách cô ấy var thẳng =))
Diep Anh Tran,Xem trong đảo thiên đg đã thấy đểu rồi
Hồng Mai Phương,"nói chuyện ân ái thì tiếng Anh mà chửi là chửi tiếng Việt nha , nó đã :v"
Lê Phan Thanh Ngọc,Vợ tôi chắc là thuộc hội của Yuna quá hội dí mai cồ đến ch*t
Trinh Ng,M cũng 1 thời dành giật ở đảo thiên đường mà h trách nta 😏
Thảo Phương Hoàng,Tk này xứng đáng :))
Quyền Phạm,Ghét cha nội nài ghê
Duyên Nguyễn,Từ hồi coi ĐTĐ là thấy cha nội này vừa hèn vừa ương ương dở dở tđn ấy :)))
Nguyễn Ngân Hà,Xem thấy tính cách cha này hơi hãm rồi 😂
Nguyễn Hiền,lên sóng truyền truyền hình đã thấy nó đểu rồi
Liêu Ngọc Trâm,Ghét cả đôi
Phuong Phuong,Chán cả đôi
Lê Kiều Bảo Trinh,Chuỵ cháy 🤣🤣
Phượng Càm,Npc minh tuệ
Nam Nguyen,mong atlus xem xét cho cơ chế đứng lên cây đái lúc đánh boss của ngài vào bò sơn la 6 ạ
Dương Vy,Vài bữa thấy Persona the Series đc cameo trong game vô tận của trùm dev thì peak 🙌
Solrane Rin,t đầu hàng
Khánh Nam,Hideo Kojima mà sinh năm 2077 thì phải gọi a Hải bằng cụ
Solrane Rin,T khịa thg Hải trong game indie
Huy Đỗ,Tuyệt đối điện tại
Mì Ly Dở Vđ,Lore này gọi điện bằng zalo được không?
Thang Truong,Lore này ăn đứt lore của anh hề chưa 😔
Tran Than Phuc Lam,may là không phải npc sang trọng và thông thái
Vũ Hải Long,Nói lại lần nữa coi?
Soái Ca,Tui mong game này ra mắt sớm chứ ko GTA còn phải dời lịch ra mắt dài dài 😌
Vũ Kim Đồng,mới ghẹo tí anh ấy bật mode tự ái block tôi mẹ r =)))
Lê Đình Trực,Cái đéo gì cũng vô hạn kể cả cân nặng mẹ a ấy 🥀
Huỳnh Phong,Tôi sau khi mở game của lão hải
Nguyễn Mạnh Cường,Lore này Hidetaka Miyazaki gọi bằng cụ
Nguyễn P. Vỉnh,"Không cần dài dòng,lan man"
Trần Bình,Minh mẫn và trí Tuệ 🤯🤯🤯 nồi cơm có tác dụng jv
Nguyễn Hoàng Long,Nghe là bt character development hơn mấy game bò sơn la rồi
Nguyễn Xuân Trường,Chúng ta cần hải làm dev cho persona 6
Hai Nguyen,"Nói thật thì ông a này cũng có tài năng và đam mê. Tuy nhiên lại quá tự tin và bám chấp vào kĩ năng của mình. Trước có bài post chê cơ chế quái trong elden ring nhưng lại là xem youtube thay vì chơi rồi đánh giá. Nên khá là bủh, mấy cmt góp ý thì auto xoá nên cũng phải chệu=)))"
Phạm Duy Hải,sĩ đến hết đời
Rk Đức,Cơ chế nemesis system bị khoá bản quyền đến chục năm sau thì game ông này có nổi cỡ nào ăn vài gậy là nằm cỏ lúa bằng nhau thôi
Anh Tai Ho,Khi anh Chu viết bằng nước mắt thì trực diện và gọn gàng.
Nguyễn Đức,Xét trên quan điểm nào đi nữa thì cũng không thể phát triển ĐSCT bằng mọi giá . Rất mong các LĐ suy xét cẩn trọng hơn dự án này . TBT Tô Lâm đã từng nói rất cần thiết lắng nghe phản biện cơ mà ?
Quế Hà,"Chuẩn quá bạn Chu à, mong sao các nhà lãnh đạo quản lý hãy sáng suốt để không vấp vào cú lừa này."
Anh Xuan Bui,"Tôi nghĩ những điêu anh Chu nói rất đúng ( chắc chắn các đồng chí lãnh đạo Đảng và Nhà nước cũng quá hiểu điều đó ) , nên mọi việc đòi hỏi phải rất cẩn trọng và chắc chắn để có cuộc sống yên ổn và bình yện !"
Tien Ngoc,"Dạ thưa thầy , Ngốc em nghe nói là ta làm được những gì mà thế giới không thể hoặc không dám làm ạ ."
Nam Lê Đình,"Đã đến lúc cần phải gạt bỏ cái tôi biết lắng nghe những góp ý xây dựng bằng tâm huyết của các nhà trí thức ,đã sự bộc bạch hết tâm huyết của mình vì sự phát triển của đất nước. Đừng quên nhân tài là nguyên khí của quốc gia…"
Hong Son Pham,Rất Dân ngại!!!
Tôn Thất Thế,"Nâng khổ ray 1435mm làm 2 đường song song tốc độ 250 km/h là OK, nghèo và dốt có cái tật hay khoe"
Tinhh Mai De,"Việt Nam giờ chịu ảnh hưởng của biến đổi khí hậu. Năm nay nhìn các cơn bão lũ triền miên từ bắc vào nam thì đường sắt cao tốc nếu làm thì mong các chuyên gia, các nhà khoa học tính toán thiết kế cho an toàn."
Phan Thị Hoàng Anh,"Bài viết chính xác , phân tích cụ thể ai cũng hiểu được.Chỉ mong Chính quyền vì Dân mà lắng nghe ý kiến bổ ích này của T s Nguyễn Ngọc Chu."
Phạm Huy Định,"đây là âm mưu tay không bắt giặc của tập đoàn mafia chứ không phải là dự án công có tầm QT, nếu nhà nước có vốn cho tư nhân vay 80/100 thì nhà nước phải làm chủ đầu tư và tổ chức đấu thầu QT để chọn nhà thầu uy tín chất lượng thi công, đến người ngu cũng biết chủ đầu tư lại cho người ta vay 80/100 tổng vốn xd chính nhà cho mình thì chủ đầu tư không ngu cũng khùng, mong rằng nhà nước ta vẫn còn những người thông minh can đảm ngăn chặn việc nhà nước cho dn tư nhân vay 80/100 tổng vốn xd dự án nhiều chục tỷ đô la này!"
Lương Trọng Giang,Rồi sẽ chết dưới tay Trung Quốc
Nguyễn Thanh Quang,Bài viết này mà được đưa ra ĐH14 thì có nhắm mắt cũng phải rụt tay lại!
Nguyen Chiến Thắng,Cảm ơn Nguyen Ngoc Chu đã có luận điểm trùng khớp với quan điểm của mình.
Gioi Ha Quang,"Cảm ơn TG! Nội dung hay, tiêu đề cho mỗi phần hay đích đáng""?"
Mầu Phạm,"Đồng thuận cao với TS Nguyễn Ngọc Chu qua STT này, nhất là câu: Chúng ta cần vươn mình. Chúng ta cần phát triển. Nhưng không phải tăng trưởng kinh tế bằng mọi giá."
Hoanh Tung,Thể chế này nó sinh ra nhiều cái lạ lắm ! Nếu ko muốn nói là sinh ra những  Quai Th.
Tung Son,Lãi thì thằng tư nhân có hưởng
Khiêm Phạm,"Không làm được việc thì về hết đi, không có ngoại lệ nào ở đây cả."
Duong Nguyen,"Bắt mạch con bệnh vĩ cuồng đúng đấy ạ. Nếu tăng trưởng chỉ dựa vào bất động sản và hạ tầng thì đó là đang xây lâu đài trên cát. Đầu tư cho công nghệ, đầu tư cho sản xuất hàng hóa, tạo công ăn việc làm lâu dài thì mới phát triển bền vững được ."
Hưng Lê Văn,Lãnh đạo vịt toàn là nhân tai! Lấy mạng dân ra làm con tin! Chó thật.
Hiep Duong,"Tại sao chúng ta cứ buộc phải làm DSCT 280-320km/h chỉ chở người, hạn chế hàng hóa (với vốn đầu tư"
Son Anphat,Tìm hiểu kỹ nguồn tiền từ đâu để có thể cho vay 0 % giá trị lớn với thời hạn dài như vậy? Nghi từ nước lạ lắm.
Tran Duc Thanh,1. Bắt hơn 100 tr dân làm con nợ
Tien Lequang,Quản trị kiểu mơ màng lãng mạn ý chí hành chính vô nguyên tắc nó phải vậy kkk
Bui Huy Hùng,TS Chu thân mến !
Sy Dinh,"Chẳng có chút kinh nghiệm nào vào lĩnh vực này, công ty thành lập chưa được 1 năm, tài sản thế chấp không có và không tương xứng. Nếu vỡ nợ ai chịu, và chịu như thế nào không ai đề cập tới."
Tuan Nguyen Quoc,Tư nhân vay mà không cần bảo lãnh Chính phủ thì bác cũng như mọi người khác khỏi cần quan tâm lo lắng đi. Khi tư nhân đổ bể ai cho vay sẽ chết chùm!
